DestinationName,City,City2,State,Description,
Sadapathor ,Sylhet,Sylhet,Sylhet,"With strikingly similar views to famed hill station Jaflong, Bholaganj SadaPathor, located in the Companiganj Upazila and near East Khasi Hills district of Meghalaya, India, is famous for beautiful stones, crystal clear water and green mountains. In this “heaven of white stones,” visitors can enjoy swimming, floating or simply soaking their feet in the beautiful cool water. Two other must-see places near Bholaganj include Utma Sora and Turong Sora.",https://www.travelmate.com.bd/wp-content/uploads/2022/04/Sada-Pathor-Bholaganj-Sylhet.jpg
Rema Kalenga Reserve Forest,Habiganj,Habiganj,Sylhet,"Rema Kalenga Reserve Forest is a protected dry evergreen forest area located in  Chunarughat of Habiganj district, Bangladesh. It is home to various species of flora and fauna, including rare and endangered ones such as the Hoolock gibbon and the Asian elephant. The forest is also a popular destination for eco-tourism and offers ample opportunities for hiking and bird watching.",https://upload.wikimedia.org/wikipedia/commons/5/5f/%E0%A6%B0%E0%A7%87%E0%A6%AE%E0%A6%BE-%E0%A6%95%E0%A6%BE%E0%A6%B2%E0%A7%87%E0%A6%99%E0%A7%8D%E0%A6%97%E0%A6%BE_%E0%A7%A6%E0%A7%A8.jpg
Satchori national forest,Habiganj,Habiganj,Sylhet,"Sathchori National Forest is situated in Roghunandon Hill at Chunnarughat Upazilla under Habiganj District in Sylhet Division. It is mainly an evergreen woodland boasting of almost 200 types of trees including teakwood (tectona grandis), mahogany (swietenia mahagoni) chrysanthemum and bamboo. In addition to a variety of species of apes and deer, 24 species of mammals, 18 species of reptiles and 150 types of birds are found there. The forest offers visitors beautiful views of rolling hills, waterfalls, and streams. It is a popular destination for birdwatchers, hikers, and nature enthusiasts.",https://upload.wikimedia.org/wikipedia/commons/0/0e/Satchari_National_Park%2C_Habiganj%2C_Sylhet.jpg
House of Baul Shah Abdul Karim,Sunamganj,Sunamganj,Sylhet,"The House of Baul Shah Abdul Karim is a historic residence located in Sylhet, Bangladesh. It is a place of pilgrimage for Bauls and music enthusiasts alike, as it was the birthplace and home of the renowned Baul musician and composer, Shah Abdul Karim. The house has been preserved and transformed into a museum, showcasing the life and works of Shah Abdul Karim and the Baul tradition. Visitors can explore the house and its surroundings, and attend musical performances and cultural events held throughout the year.",https://lovesunamganj.com/wp-content/uploads/2021/05/Daily-sun-2019-02-15-8.jpg
Hakaluki Haor,Moulvibazar,Moulvibazar,Sylhet,"Hakaluki Haor is a wetland ecosystem located in the Sylhet region of Bangladesh. It is a vast area of freshwater marshes and lakes surrounded by hills and forests. The area is home to a diverse range of flora and fauna, including various species of birds, fish, and reptiles. The wetland is also an important source of livelihood for the local communities, who rely on fishing and agriculture for their subsistence. Despite facing numerous threats from human activities, such as pollution and overfishing, Hakaluki Haor remains an important ecological hotspot in Bangladesh.",https://upload.wikimedia.org/wikipedia/commons/d/dd/Nature_of_hakaluki_haor.jpg
Bisnakandi,Sylhet,Sylhet,Sylhet,"Bisnakandi in Sylhet is a natural wonder located in the northeast corner of Bangladesh. It is known for its breathtakingly beautiful landscapes, crystal clear water streams, and rocky terrain. Visitors can explore the area by hiking or boating along the Piyain River, which offers panoramic views of the surrounding hills and forests. The rock formations at Bisnakandi are especially unique, with some resembling animal shapes and others appearing to be frozen waterfalls. Overall, Bisnakandi is a must-visit destination for nature lovers and adventure seekers alike.",https://www.travelmate.com.bd/wp-content/uploads/2020/02/Bishankandi-4.jpg
Ratargul ,Sylhet,Sylhet,Sylhet,"Ratargul is a freshwater swamp forest located in Sylhet, Bangladesh, known for its unique beauty and natural diversity. It is one of the few freshwater swamp forests in the world and is home to a variety of flora and fauna, including different species of birds, monkeys, and snakes. The forest is submerged in water for most of the year, making it accessible only by boat during the monsoon season. Visitors can enjoy a serene boat ride through the forest while taking in its breathtaking views.",https://www.travelmate.com.bd/wp-content/uploads/2019/07/Ratargul-2.jpg
Panthumai  Waterfall,Sylhet,Sylhet,Sylhet,"Panthumai Waterfall is a stunning waterfall located in Sylhet, Bangladesh. The waterfall is surrounded by lush greenery and offers a serene environment for visitors to relax and enjoy the natural beauty. The cascading waterfalls create a picturesque view that is perfect for photography enthusiasts. Visitors can also take a dip in the cool water or go for a hike in the nearby hills. Overall, Panthumai Waterfall is a must-visit destination for nature lovers and adventure seekers.",https://i.pinimg.com/originals/0b/8b/07/0b8b07964d3fa4aca540c3f6fc1e8b30.jpg
Jaflong ,Sylhet,Sylhet,Sylhet,"Jaflong, located between tea gardens and hills, is the tourist hotspot of Sylhet, a hill station, positioned on the border between Bangladesh and Meghalaya, the north-eastern state of India. Also home to the Khasi tribe, Jaflong is famed for its lush, tropical setting and the areas of natural beauty surrounding it.These areas include the Piyain River, which flows between Bangladesh and India and is renowned for its crystal clear water that allows visitors to vividly see the array of underwater stones. In Jaflong, visitors can also take in the cascading waterfalls and rich greenery of the mountains of Meghalaya, and visit the historic Dawki Bridge, a suspension bridge built by the British in 1932 and a road border crossing between Bangladesh and India.",https://www.musafir.com.bd/images/places/Jaflong.jpg
Songrampunji Waterfall,Sylhet,Sylhet,Sylhet,"Songrampunji Waterfall is a picturesque waterfall located just a few minutes away from the tourist hotspot Jaflong in Sylhet, Bangladesh. The waterfall is surrounded by lush greenery and is a popular spot for tourists and locals alike. Its cascading waters offer a serene and tranquil environment for visitors to relax and unwind.",https://adarbepari.com/wp-content/uploads/2016/07/songram-punji-jhorna-waterfall-jaflong-sylhet-05.jpg
Lokkhonchora,Sylhet,Sylhet,Sylhet,"Lokkhonchora,  a small village located almost at the border of the Sylhet division of Bangladesh, is known for its lush green natural beauty, rice fields, and tea gardens. The village is surrounded by hills and forests, providing a serene and peaceful environment for visitors. It is an ideal place for nature lovers who want to enjoy the beauty of the countryside.",https://adarbepari.com/wp-content/uploads/2016/05/lokkhonchora.jpg
Jugirkandi Mayabon,Sylhet,Sylhet,Sylhet,"Jugirkandi Mayabon is a water forest in Gowainghat Upazila of Sylhet. Located at Jugirkandi Haor in Alirgaon Union of Gowainghat Upazila, this picturesque forest is locally named Mayabon. The idea is that it is the largest water forest in Bangladesh. Spread over an area of ​​about one thousand acres, this forest attracts the attention of tourists by spreading the magic of its form. There is a huge jungle of rows and rows of trees in the deep water around Mayaban. The dense nature of this water forest of Jugirkandi takes the mind to the unknown land of fairy tales. Where you enter, the mind does not want to come back. ",https://www.lrbtravelteam.com/wp-content/uploads/2021/02/Jugirkandi-Mayabon.png
Lalakhal ,Sylhet,Sylhet,Sylhet,"Lalakhal is a popular tourist destination located in Sylhet, Bangladesh. It is a serene river surrounded by hills and greenery, making it an ideal spot for nature lovers. The water is crystal clear, and visitors can enjoy a boat ride or swim in the river. Lalakhal is also known for its vibrant tea gardens and is a must-visit for anyone traveling to Sylhet.",https://porzoton.com/wp-content/uploads/2020/06/Lalakhal-Shari-River.jpg
Rangpani,Sylhet,Sylhet,Sylhet,"Rangpani, this tourist place full of natural beauty is located in Mokampunji area of ​​Jaintapur upazila, about 54 km from Sylhet city. The word Sri means beautiful. The area is so full of natural beauty that the name of the area is Sreepur and it is in Sreepur that the border river Rangpani is located. It originates from clear water from Ranghong Kong Falls in Jainta Hills, Meghalaya. This place although brimming with tourism potential, has remained largely hidden from the public eye due to being neglected for years",https://adarbepari.com/wp-content/uploads/2023/05/rangpani-sylhet-01.jpg
Dibir Haor,Sylhet,Sylhet,Sylhet,"Dibir Haor is a wetland located in Sylhet division of Bangladesh. It is a natural depression that fills up with rainwater during monsoon season and serves as a home to various aquatic plants and animals. The haor also provides a source of livelihood for nearby communities who rely on fishing and agriculture. There are four bills in the name of Yam, Dibi, Horofkata, Kendri Bill. After the rainy season, it becomes a kingdom of water lillies and thats the best time to visit Dibir Haor.",https://adarbepari.com/wp-content/uploads/2017/01/dibir-haor-sylhet-01.jpg
Luvachora,Sylhet,Sylhet,Sylhet,"Lovachora is a bordering area from Kanaighat Upazilla in the eastern part of Sylhet district, which is somewhat fortified from northeast to northwest by the Meghalayan ranges. It is essentially a quarry where stones and boulders are mined, besides an age-old tea garden. Flowing respectively from the south and north, the Borak and the Lova meet at one point, assume the name Surma and flow west towards Sylhet city. The shades of far-flung hills falling on the crystal clear streams of the Lova make for a heavenly sight. subject to the permission from the border patrol force BGB, tourists can even go to the source of the Lova and see the hanging bridge which connects two hills on the other side of the border.",https://www.visitsylhet.com/images/places/lovachora/slide/lovachora.jpg
Baikka Beel ,Moulvibazar,Moulvibazar,Sylhet,"Baikka Beel is a wetland sanctuary located in the Srimangal Upazila of Sylhet, Bangladesh. It is home to over 200 species of birds, including several rare and endangered species. The area is also rich in flora and fauna, with various species of fish, reptiles, and mammals inhabiting the wetlands. The serene and tranquil atmosphere of Baikka Beel is a popular attraction for tourists and birdwatchers alike.",https://www.bangladeshunbound.com/wp-content/uploads/2022/03/Mixed-Flock-of-Wishtling-Duck-_-Great-Cormorant-at-Baikka-Wet-Land.jpg
Parikunda Waterfall ,Moulvibazar,Moulvibazar,Sylhet,"Parikunda Waterfall is a beautiful waterfall located in Sylhet, Bangladesh. The waterfall is surrounded by lush green forests and rocky cliffs, making it a perfect spot for nature lovers and adventure seekers. The waterfall has a height of about 60 feet and is known for its mesmerizing beauty. Visitors can enjoy swimming in the cool water of the waterfall and also explore the surrounding area. Parikunda Waterfall is a must-visit place in Sylhet for anyone who wants to experience the natural beauty of Bangladesh.",https://i0.wp.com/2.bp.blogspot.com/-Vd_XVNnF644/WotYu7MThzI/AAAAAAAAZy0/uHC3QxqVQpozyT-qWWouBVyERUWm7AUlgCLcBGAs/s1600/parikunda%2Bwaterfall%252B11.JPG?ssl=1
